value,len,branch,scam_type,subtype
0x3f4946fb8ab2c240a223b8ab58193451c5b243c98a69838256d079809f2d75a0,66,exploiting,ice_phishing,approve
0x35ed074ae9b9028c597e86d717826944a70f79376813b04c4faf082a46246646,66,exploiting,ice_phishing,approve
0xed2dcceb2123446a543458e442bd37bc2b4e6064fd652b9a5e76c4e0aad2277f,66,exploiting,ice_phishing,approve
0x3d88d3d865613f03badc78945ccb7ad34018217a3ee5362d08df78f58b034e39,66,exploiting,ice_phishing,approve
0x833cc7d8dcf94cb0370d3e7e3414b60f39b3e484d0b5ad26740b26b9a42ee922,66,exploiting,ice_phishing,approve
0xedcfe284e98231fb6a5b23c0ed63161516a7e618a0360a6bf63c5a9bc6686b11,66,exploiting,ice_phishing,approve
0x3217abf20438947690d43c9361acdad013608648e6cd1c7c17a58980bb24a3bb,66,exploiting,ice_phishing,approve
0xb91d7b1440745aa07409be36666bc291ecc661e424b21b855698d488949b920f,66,exploiting,ice_phishing,approve
0xcbe7b32e62c7d931a28f747bba3a0afa7da95169fcf380ac2f7d54f3a2f77913,66,exploiting,ice_phishing,approve
0x74f15bf7a143e2e3c46aed2823f45044904b85a8735268011d426b3835afe3f2,66,exploiting,ice_phishing,approve
0xda947f17c74377f656ab8567967a214874f2b5cd99f49a219f385dee54f637fd,66,exploiting,ice_phishing,approve
0xbe4b25f6bd89fd5655d8104cdd9724da05cf96724be313bf7d13dc8c8091037d,66,exploiting,ice_phishing,approve
0xe4a50f7b90349ab90e5339ea8f1294bf8ea39b88ce0859657b99dd4b7fcbd7c2,66,exploiting,ice_phishing,approve
0xeef8bdbbe18cb51ea76e31dbf2aad7f9cc25ef934cc08000d825857e2e3dcc77,66,exploiting,ice_phishing,approve
0x13cd0edda83aa778b81f877e2be1e49c070b1fb93aeb777a0399a613abd0f632,66,exploiting,ice_phishing,approve
0x153e86747e80d0eee21bcde4c67eeff231682745b2cbacc85ac44a04ecc568bc,66,exploiting,ice_phishing,approve
0xe0a7500b2eb173efd6231ee38ad87ac301bd85777b534658dd75b9b758220932,66,exploiting,ice_phishing,approve
0xe111462b832dff6620da993497e7698e59e289c9d84c46b3cbaba6d7c8cf46b0,66,exploiting,ice_phishing,approve
0xe6bf0ea327221f5bb84a48c3cb5f2b6f7d76f163a2f8d4f013c1f106c2a3aa04,66,exploiting,ice_phishing,approve
0x81362afe6bb763d8bc0cca90751b1983ab2e2b8b692b3f6a0ea5a3b7cbd3451e,66,exploiting,ice_phishing,approve
0xddeb4c75063baf12c11aac6f0e59069db4e73ac7b8c2e557831307fa9659866d,66,exploiting,ice_phishing,approve
0x9a7d0173502a208f55e28a15a56324a28338b6f0b8221ae44138836d3165b32a,66,exploiting,ice_phishing,approve
0xea357cd7cabcf81d622dd26c287a4d2418083dab735c3254636388cdd291ccb3,66,exploiting,ice_phishing,approve
0x001e9f22a27d6394d9b33ba4c246e9e923bb7fb33349bfbd8f6e3b7d83438ad5,66,exploiting,ice_phishing,approve
0x4c007154cf2cf523fd55f0585228c19d37f3b047cbef6f79dd535bab7fabffdc,66,exploiting,ice_phishing,approve
0xc49343d95a3b02e7a932aa7e7cdb6fb0b6e74ecaf78c7a4704e7d3ecccbcdf7c,66,exploiting,ice_phishing,approve
0x2893fcabb8ed99e9c27a0a442783cf943318b1f6268f9a54a557e8d00ec11f69,66,exploiting,ice_phishing,approve
0x2dcfb39f4b6d444f6b05061e32447210dbffe37dae6d09e15f1e134476ae0dd5,66,exploiting,ice_phishing,approve
0x33ec60bf0af1e9ead1c1b5fccfb0dee58e03335c5641d0b0389754e216c14e85,66,exploiting,ice_phishing,approve
0x0716768ee96e2f8d1741cfa84c9c60740953f8ef10898b73d6a774f77f75fdbb,66,exploiting,ice_phishing,approve
0x436aab0e2d5269ebc47f36877a0ceaee9dcfbe0d0e03e8e5e846034c30032758,66,exploiting,ice_phishing,approve
0xa06cd5e3a60b29ff8e3e33f1480453190a5c80b989c1f6fe6ed1227f8ab6849e,66,exploiting,ice_phishing,approve
0xd001d35cc1c67c5ad7d717cd3af90193616a27343a64dbb77b43d568273ef95a,66,exploiting,ice_phishing,approve
0x1d67490c677aafdbc05828f5919be14c7144b238a549aa47231bc8b53bf2fb64,66,exploiting,ice_phishing,approve
0x0e6bcf20cee9cb6bfd7ba1b7d3c6e6f606bb5636d3c0753317fa836027e1aa33,66,exploiting,ice_phishing,approve
0x29986bc2727ee43c604c51b2a9a2108c17e8287d248cd0d71cb65cb57dba7f9f,66,exploiting,ice_phishing,approve
0x40e222178066561c6be49c02c52e3fa5a5b40db7c1e3a3afc1da303d30761318,66,exploiting,ice_phishing,approve
0x5f76587957d8fa18218561da82e2a2286db128c6bed59ceb2ccb67263aa03f14,66,exploiting,ice_phishing,approve
