txhash,branch,scam_type,subtype,from,to,value_eth,selector,sel_name,from_is_contract,to_is_contract,scammer,direction,clean,reason,block,ts,status
0x3f4946fb8ab2c240a223b8ab58193451c5b243c98a69838256d079809f2d75a0,exploiting,ice_phishing,approve,0x7f9241ac942ba97085ef1a1542d270bfd6a987fd,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0.0,0x23b872dd,transferFrom,False,True,0x7f9241ac942ba97085ef1a1542d270bfd6a987fd,OUT,True,drain_from_eoa,18227138,1695818231,ok
0x35ed074ae9b9028c597e86d717826944a70f79376813b04c4faf082a46246646,exploiting,ice_phishing,approve,0x0000553f880ffa3728b290e04e819053a3590000,0x00000cedbdfd9b7bb33c43f122fd2060366a0000,0.0,0xcaa5c23f,permit_drainer,False,True,0x0000553f880ffa3728b290e04e819053a3590000,OUT,True,drain_from_eoa,18075375,1693978583,ok
0xed2dcceb2123446a543458e442bd37bc2b4e6064fd652b9a5e76c4e0aad2277f,exploiting,ice_phishing,approve,0x00005d0c9ac39db0798f6ca947202e5f55a10000,0x0b38210ea11411557c13457d4da7dc6ea731b88a,0.0,0x23b872dd,transferFrom,False,True,0x00005d0c9ac39db0798f6ca947202e5f55a10000,OUT,True,drain_from_eoa,17855720,1691322527,ok
0x3d88d3d865613f03badc78945ccb7ad34018217a3ee5362d08df78f58b034e39,exploiting,ice_phishing,approve,0x0000553f880ffa3728b290e04e819053a3590000,0x9ff58f4ffb29fa2266ab25e75e2a8b3503311656,0.0,0x23b872dd,transferFrom,False,True,0x0000553f880ffa3728b290e04e819053a3590000,OUT,True,drain_from_eoa,17814705,1690827179,ok
0x833cc7d8dcf94cb0370d3e7e3414b60f39b3e484d0b5ad26740b26b9a42ee922,exploiting,ice_phishing,approve,0x0000553f880ffa3728b290e04e819053a3590000,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0.0,0x23b872dd,transferFrom,False,True,0x0000553f880ffa3728b290e04e819053a3590000,OUT,True,drain_from_eoa,17761853,1690188251,ok
0xedcfe284e98231fb6a5b23c0ed63161516a7e618a0360a6bf63c5a9bc6686b11,exploiting,ice_phishing,approve,0x4218e774634c1ed1761d3b169d89c2ba8b2d6c41,0xa4bbe66f151b22b167127c770016b15ff97dd35c,0.0,0x23b872dd,transferFrom,False,True,0x4218e774634c1ed1761d3b169d89c2ba8b2d6c41,OUT,True,drain_from_eoa,17605726,1688293643,ok
0x3217abf20438947690d43c9361acdad013608648e6cd1c7c17a58980bb24a3bb,exploiting,ice_phishing,approve,0x4af1004ef2c3f29cc2bfacf3b1b4a6c204794def,0x6982508145454ce325ddbe47a25d4ec3d2311933,0.0,0x23b872dd,transferFrom,False,True,0x4af1004ef2c3f29cc2bfacf3b1b4a6c204794def,OUT,True,drain_from_eoa,17597445,1688193107,ok
0xb91d7b1440745aa07409be36666bc291ecc661e424b21b855698d488949b920f,exploiting,ice_phishing,approve,0x4c10a462cd1e639da8a062ae8a33a23401120ab1,0xae78736cd615f374d3085123a210448e74fc6393,0.0,0x23b872dd,transferFrom,False,True,0x4c10a462cd1e639da8a062ae8a33a23401120ab1,OUT,True,drain_from_eoa,18078909,1694021507,ok
0xcbe7b32e62c7d931a28f747bba3a0afa7da95169fcf380ac2f7d54f3a2f77913,exploiting,ice_phishing,approve,0x4c10a462cd1e639da8a062ae8a33a23401120ab1,0xae7ab96520de3a18e5e111b5eaab095312d7fe84,0.0,0x23b872dd,transferFrom,False,True,0x4c10a462cd1e639da8a062ae8a33a23401120ab1,OUT,True,drain_from_eoa,18078908,1694021495,ok
0x74f15bf7a143e2e3c46aed2823f45044904b85a8735268011d426b3835afe3f2,exploiting,ice_phishing,approve,0x0000553f880ffa3728b290e04e819053a3590000,0xa8b919680258d369114910511cc87595aec0be6d,0.0,0x23b872dd,transferFrom,False,True,0x0000553f880ffa3728b290e04e819053a3590000,OUT,True,drain_from_eoa,17592799,1688136659,ok
0xda947f17c74377f656ab8567967a214874f2b5cd99f49a219f385dee54f637fd,exploiting,ice_phishing,approve,0x26538ce2b878b022e728fab851ed8beb1eac382f,0x562e362876c8aee4744fc2c6aac8394c312d215d,0.0,0x23b872dd,transferFrom,False,True,0x26538ce2b878b022e728fab851ed8beb1eac382f,OUT,True,drain_from_eoa,17532896,1687409399,ok
0xbe4b25f6bd89fd5655d8104cdd9724da05cf96724be313bf7d13dc8c8091037d,exploiting,ice_phishing,approve,0x00001f78189be22c3498cff1b8e02272c3220000,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0.0,0x23b872dd,transferFrom,False,True,0x00001f78189be22c3498cff1b8e02272c3220000,OUT,True,drain_from_eoa,17520264,1687256291,ok
0xe4a50f7b90349ab90e5339ea8f1294bf8ea39b88ce0859657b99dd4b7fcbd7c2,exploiting,ice_phishing,approve,0xfb4d3eb37bde8fa4b52c60aabe55b3cd9908ec73,0x6982508145454ce325ddbe47a25d4ec3d2311933,0.0,0x23b872dd,transferFrom,False,True,0xfb4d3eb37bde8fa4b52c60aabe55b3cd9908ec73,OUT,True,drain_from_eoa,17394871,1685731127,ok
0xeef8bdbbe18cb51ea76e31dbf2aad7f9cc25ef934cc08000d825857e2e3dcc77,exploiting,ice_phishing,approve,0x0cec7843b9c2b125d837d87f0c9197724a94bf42,0xdac17f958d2ee523a2206206994597c13d831ec7,0.0,0x23b872dd,transferFrom,False,True,0x0cec7843b9c2b125d837d87f0c9197724a94bf42,OUT,True,drain_from_eoa,17022070,1681182011,ok
0x13cd0edda83aa778b81f877e2be1e49c070b1fb93aeb777a0399a613abd0f632,exploiting,ice_phishing,approve,0x1661f1b207629e4f385da89cff535c8e5eb23ee3,0xd33526068d116ce69f19a9ee46f0bd304f21a51f,0.0,0x23b872dd,transferFrom,False,True,0x1661f1b207629e4f385da89cff535c8e5eb23ee3,OUT,True,drain_from_eoa,16939539,1680172907,ok
